"Date","Time","Open","High","Low","Close","Up","Down"
09/06/2021,17:05,4545.00,4545.25,4542.75,4543.00,243,353
09/06/2021,17:10,4543.00,4543.25,4542.50,4543.25,111,87
09/06/2021,17:15,4543.25,4543.50,4541.25,4542.25,242,354
09/06/2021,17:20,4542.25,4542.75,4541.75,4542.50,78,43
09/06/2021,17:25,4542.25,4542.50,4541.75,4541.75,60,96
09/06/2021,17:30,4541.75,4542.00,4541.50,4541.75,27,80
09/06/2021,17:35,4541.75,4542.00,4541.50,4542.00,186,98
09/06/2021,17:40,4541.75,4542.00,4541.25,4541.25,61,168
09/06/2021,17:45,4541.50,4542.00,4540.75,4541.00,98,279
09/06/2021,17:50,4540.75,4541.25,4540.75,4541.00,133,60
09/06/2021,17:55,4541.25,4541.25,4541.00,4541.25,51,56
09/06/2021,18:00,4541.50,4541.50,4541.00,4541.00,33,48
09/06/2021,18:05,4540.75,4541.50,4540.25,4541.25,140,203
09/06/2021,18:10,4541.25,4541.50,4541.00,4541.50,71,10
09/06/2021,18:15,4541.25,4541.25,4541.00,4541.00,17,83
09/06/2021,18:20,4541.00,4541.25,4540.75,4541.25,64,84
09/06/2021,18:25,4541.25,4541.25,4540.75,4541.00,29,60
09/06/2021,18:30,4541.00,4541.50,4540.75,4541.50,62,22
09/06/2021,18:35,4541.25,4542.25,4541.00,4542.25,192,77
09/06/2021,18:40,4542.25,4542.25,4542.00,4542.00,107,101
09/06/2021,18:45,4542.00,4542.25,4540.75,4541.00,32,190
09/06/2021,18:50,4540.75,4540.75,4539.50,4539.75,307,624
09/06/2021,18:55,4539.75,4539.75,4539.25,4539.50,108,225
09/06/2021,19:00,4539.50,4539.75,4538.75,4539.00,88,316
09/06/2021,19:05,4539.00,4539.50,4537.50,4539.25,400,842
09/06/2021,19:10,4539.50,4539.50,4538.25,4539.25,113,174
09/06/2021,19:15,4539.50,4540.50,4539.25,4540.25,358,132
09/06/2021,19:20,4540.25,4540.75,4539.75,4540.25,394,390
09/06/2021,19:25,4540.00,4540.25,4539.00,4540.00,188,173
09/06/2021,19:30,4540.00,4540.50,4539.50,4540.00,64,145
09/06/2021,19:35,4539.75,4541.00,4539.75,4540.50,201,125
09/06/2021,19:40,4540.75,4540.75,4540.00,4540.25,109,105
09/06/2021,19:45,4540.25,4540.50,4539.50,4540.00,51,74
09/06/2021,19:50,4539.75,4539.75,4539.00,4539.25,31,156
09/06/2021,19:55,4539.00,4539.50,4538.50,4538.75,169,208
09/06/2021,20:00,4538.50,4539.00,4537.75,4538.00,118,328
09/06/2021,20:05,4538.00,4538.75,4536.75,4538.75,374,510
09/06/2021,20:10,4538.50,4539.00,4538.25,4538.50,97,122
09/06/2021,20:15,4538.50,4538.50,4537.25,4537.75,111,286
09/06/2021,20:20,4537.75,4538.50,4537.25,4537.75,174,156
09/06/2021,20:25,4537.75,4539.00,4537.75,4538.25,129,302
09/06/2021,20:30,4538.25,4538.75,4538.00,4538.25,136,198
09/06/2021,20:35,4538.50,4538.50,4537.25,4537.50,140,282
09/06/2021,20:40,4537.50,4537.75,4536.75,4537.50,237,396
09/06/2021,20:45,4537.25,4538.50,4536.75,4537.25,251,354
09/06/2021,20:50,4537.00,4538.00,4537.00,4537.50,251,100
09/06/2021,20:55,4537.25,4538.25,4536.75,4538.00,225,178
09/06/2021,21:00,4538.00,4538.75,4537.75,4538.25,158,119
09/06/2021,21:05,4538.50,4539.50,4538.25,4539.25,390,131
09/06/2021,21:10,4539.50,4539.50,4538.75,4539.25,248,175
09/06/2021,21:15,4539.00,4539.75,4538.75,4539.75,218,88
09/06/2021,21:20,4539.50,4539.75,4539.00,4539.00,107,189
09/06/2021,21:25,4539.00,4539.75,4539.00,4539.75,153,101
09/06/2021,21:30,4539.50,4539.50,4539.00,4539.00,26,164
09/06/2021,21:35,4538.75,4539.25,4538.50,4539.00,101,160
09/06/2021,21:40,4539.00,4539.75,4538.75,4539.50,76,62
09/06/2021,21:45,4539.75,4540.50,4539.25,4540.50,221,83
09/06/2021,21:50,4540.50,4541.00,4540.00,4540.75,265,119
09/06/2021,21:55,4540.75,4540.75,4540.25,4540.50,113,162
09/06/2021,22:00,4540.50,4541.00,4540.25,4540.75,129,63
09/06/2021,22:05,4540.50,4540.75,4540.00,4540.50,102,148
09/06/2021,22:10,4540.75,4541.00,4540.50,4540.75,167,61
09/06/2021,22:15,4540.75,4541.00,4539.25,4539.50,104,196
09/06/2021,22:20,4539.50,4540.00,4539.50,4539.75,259,77
09/06/2021,22:25,4539.75,4540.00,4539.50,4540.00,69,91
09/06/2021,22:30,4539.75,4539.75,4538.25,4539.25,207,376
09/06/2021,22:35,4539.25,4539.50,4538.75,4539.50,179,56
09/06/2021,22:40,4539.50,4539.75,4539.25,4539.50,30,93
09/06/2021,22:45,4539.50,4539.50,4538.75,4538.75,155,177
09/06/2021,22:50,4538.75,4539.00,4538.25,4538.75,78,95
09/06/2021,22:55,4538.50,4539.25,4538.50,4539.00,94,83
09/06/2021,23:00,4539.00,4539.25,4538.75,4539.25,27,36
09/06/2021,23:05,4539.00,4539.00,4538.50,4538.50,10,68
09/06/2021,23:10,4538.25,4538.75,4538.25,4538.50,105,37
09/06/2021,23:15,4538.75,4539.00,4538.75,4539.00,51,5
09/06/2021,23:20,4538.75,4539.00,4538.75,4539.00,10,30
09/06/2021,23:25,4539.00,4539.25,4538.50,4539.00,43,44
09/06/2021,23:30,4539.00,4539.25,4539.00,4539.00,11,86
09/06/2021,23:35,4539.00,4540.50,4539.00,4539.75,366,223
09/06/2021,23:40,4539.75,4539.75,4539.25,4539.50,23,97
09/06/2021,23:45,4539.50,4539.50,4538.75,4538.75,96,139
09/06/2021,23:50,4538.50,4538.75,4537.75,4537.75,113,380
09/06/2021,23:55,4537.75,4538.50,4537.50,4538.50,107,147
09/07/2021,00:00,4538.50,4538.75,4538.25,4538.50,92,58
