"Date","Time","Open","High","Low","Close","Vol","OI"
08/20/2001,16:00,1063.50,1075.75,1059.75,1074.50,133864,133320
08/21/2001,16:00,1075.00,1082.25,1054.50,1055.00,143288,136675
08/22/2001,16:00,1055.00,1070.75,1054.00,1066.00,199995,138209
08/23/2001,16:00,1067.75,1071.50,1061.00,1062.25,150673,135146
08/24/2001,16:00,1063.50,1087.75,1063.50,1086.25,159590,130276
08/27/2001,16:00,1086.50,1090.75,1078.25,1079.25,131497,133994
08/28/2001,16:00,1079.25,1081.25,1061.50,1062.25,154466,133994
08/29/2001,16:00,1061.75,1067.50,1047.00,1051.25,165135,140909
08/30/2001,16:00,1051.00,1055.00,1024.25,1028.00,200188,146356
08/31/2001,16:00,1028.50,1043.00,1025.75,1033.75,122586,146058
09/04/2001,16:00,1036.25,1057.25,1027.00,1029.75,199048,155406
09/05/2001,16:00,1029.75,1037.25,1013.75,1032.25,242276,167828
09/06/2001,16:00,1032.25,1035.75,1001.75,1002.25,205503,168136
09/07/2001,16:00,1005.50,1007.75,980.50,982.00,231563,169849
09/10/2001,16:00,982.75,997.75,966.25,994.50,243100,172024
09/11/2001,16:00,995.00,1001.75,966.75,994.50,11802,172455
09/17/2001,16:00,936.75,961.25,917.75,937.75,10564,6907
09/18/2001,16:00,938.25,946.50,927.50,934.25,172394,20377
09/19/2001,16:00,934.25,944.50,878.75,912.75,336014,41532
09/20/2001,16:00,912.25,917.25,872.75,879.50,287414,60684
09/21/2001,16:00,877.75,886.75,833.75,868.25,310764,74172
09/24/2001,16:00,871.50,907.50,868.50,903.00,237775,87935
09/25/2001,16:00,903.25,916.25,892.25,913.50,248202,96126
09/26/2001,16:00,913.25,920.50,899.75,909.75,216020,98328
09/27/2001,16:00,909.25,919.00,895.50,917.75,195769,104184
09/28/2001,16:00,918.00,940.50,917.00,939.00,210521,105697
10/01/2001,16:00,939.50,939.50,924.00,938.50,198018,107177
10/02/2001,16:00,937.25,951.25,929.50,950.75,205915,110022
10/03/2001,16:00,949.50,974.00,936.50,969.75,271455,118823
10/04/2001,16:00,967.75,982.75,963.75,969.75,281825,120997
10/05/2001,16:00,969.00,977.00,950.50,967.00,243154,120621
