"Date","Time","Open","High","Low","Close","Up","Down"
06/14/2021,17:05,14110.50,14117.50,14105.25,14106.25,377,511
06/14/2021,17:10,14106.50,14107.50,14104.00,14107.25,140,140
06/14/2021,17:15,14107.50,14109.25,14104.50,14105.75,150,191
06/14/2021,17:20,14105.50,14106.00,14103.75,14105.75,78,68
06/14/2021,17:25,14105.75,14106.25,14103.50,14104.00,102,123
06/14/2021,17:30,14104.75,14106.75,14104.00,14106.50,80,46
06/14/2021,17:35,14107.00,14108.75,14106.25,14108.50,107,71
06/14/2021,17:40,14108.50,14109.50,14106.50,14106.75,75,95
06/14/2021,17:45,14107.00,14110.50,14107.00,14110.00,104,58
06/14/2021,17:50,14110.00,14110.25,14108.25,14108.50,50,61
06/14/2021,17:55,14108.50,14109.00,14107.50,14108.25,36,51
06/14/2021,18:00,14108.25,14110.00,14108.25,14110.00,40,28
06/14/2021,18:05,14109.75,14113.75,14109.00,14111.00,198,147
06/14/2021,18:10,14111.50,14112.50,14109.25,14111.25,86,94
06/14/2021,18:15,14111.00,14111.00,14109.75,14110.00,52,70
06/14/2021,18:20,14110.00,14112.00,14108.75,14111.25,61,58
06/14/2021,18:25,14111.25,14113.00,14110.50,14111.00,62,80
06/14/2021,18:30,14111.25,14111.75,14110.00,14110.75,39,49
06/14/2021,18:35,14110.50,14112.25,14110.00,14111.25,39,33
06/14/2021,18:40,14111.50,14113.75,14110.00,14112.00,105,85
06/14/2021,18:45,14112.00,14113.25,14111.75,14111.75,50,63
06/14/2021,18:50,14112.00,14115.00,14112.00,14114.00,82,44
06/14/2021,18:55,14114.00,14114.00,14107.75,14107.75,100,218
06/14/2021,19:00,14108.00,14108.50,14106.25,14106.50,77,130
06/14/2021,19:05,14107.00,14113.75,14106.25,14112.75,490,427
06/14/2021,19:10,14112.75,14122.00,14110.25,14119.50,641,500
06/14/2021,19:15,14119.25,14122.75,14117.00,14121.25,308,268
06/14/2021,19:20,14121.50,14125.00,14121.00,14121.25,282,282
06/14/2021,19:25,14121.50,14124.50,14120.25,14123.50,168,141
06/14/2021,19:30,14124.25,14139.50,14124.25,14136.00,1258,876
06/14/2021,19:35,14136.00,14138.00,14134.75,14136.25,241,295
06/14/2021,19:40,14135.75,14142.25,14135.50,14141.25,461,315
06/14/2021,19:45,14141.00,14147.50,14137.25,14146.75,716,607
06/14/2021,19:50,14146.75,14147.50,14141.00,14143.25,260,387
06/14/2021,19:55,14142.25,14144.00,14139.00,14142.00,223,197
06/14/2021,20:00,14142.25,14143.50,14139.50,14142.00,205,165
06/14/2021,20:05,14142.00,14146.75,14141.50,14145.00,337,247
06/14/2021,20:10,14144.75,14146.25,14142.75,14145.75,159,138
06/14/2021,20:15,14145.25,14149.50,14143.25,14149.50,359,202
